abbreviation	bibliographic_description
АбТ	Архив братьев Тургеневых. СПб.: Изд. Отд-ния рус. яз. и словесности Рос. Академии наук, 1911–1921. Вып. 1–6.
Акад.	Пушкин. Полн. собр. соч. М.; Л.: Изд-во АН СССР, 1937–1949. Т. 1–16; 1959. Т. 17: Справочный: Дополнения и исправления; Указатели.
Акад. в 10 т. (1)	Пушкин А. С. Полн. собр. соч.: В 10 т. М.; Л.: Изд-во АН СССР, 1950–1951.
Акад. в 10 т. (2)	Пушкин А. С. Полн. собр. соч.: В 10 т. 2-е изд. М.; Л.: Изд-во АН СССР, 1956–1958.
Acad. в 9 т.	Пушкин А. С. Полн. собр. соч.: В 9 т. / Под общ. ред. Ю. Г. Оксмана и М. А. Цявловского. М.; Л.: Academia, 1935–1938 (1935. Т. 1–6; 1936. Т. 8; 1937. Т. 9; 1938. Т. 7).
Acad. в 6 т.	Пушкин А. С. Полн. собр. соч.: В 6 т. / Под общ. ред. М. А. Цявловского. М.; Л.: Academia, 1936. Т. 1–5; М.: ГИХЛ, 1938. Т. 6.
АН 1899	Пушкин. Соч. / Приготовил и примеч. снабдил Л. Майков. СПб.: Изд. имп. Академии наук, 1899. Т. 1.
АН 1900–29	Пушкин. Соч. СПб.; Л., 1900–1929. Т. 1–4, 9, 11 (СПб.; Пг.: Изд. Имп. Академии наук, 1900. Т. 1 (2-е изд.); 1905. Т. 2; 1912. Т. 3; 1914. Т. 11; 1916. Т. 4; Л.: Изд-во АН СССР, 1928. Т. 9, кн. 1; 1929. Т. 9, кн. 2).
Анн.	Пушкин. Соч. / Изд. П. В. Анненкова. СПб., 1855–1857. Т. 1–7 (1855. Т. 1–6; 1857. Т. 7).
Анненков. Материалы	Анненков П. В. Материалы для биографии А. С. Пушкина // Анн. Т. 1.
АПСС	Пушкин А. С. Полн. собр. соч.: В 20 т. СПб.: Наука, 1999. Т. 1; 2004. Т. 2, кн. 1.
«Арзамас»	«Арзамас»: Сборник: В 2 кн. М., 1994.
Бартенев. П. в южной России	Бартенев П. И. Пушкин в южной России. М., 1914.
БдЧ	журнал «Библиотека для чтения».
Белинский	Белинский В. Г. Полн. собр. соч.: В 13 т. М.: Изд-во АН СССР, 1953–1959.
БЗ	журнал «Библиографические записки».
Библиотека П.	Модзалевский Б. Л. Библиотека Пушкина: Библиографическое описание. СПб., 1910 (Пушкин и его современники: Материалы и исследования. СПб., 1910. Вып. 9–10; Отд. отт.). То же. М.: Книга, 1988. Репринтное изд. Библиотека П. Приложение — Модзалевский Б. Л. Библиотека А. С. Пушкина: Приложение к репринтному изданию. М.: Книга, 1988.
Благ.	журнал «Благонамеренный».
Благой, I	Благой Д. Д. Творческий путь Пушкина (1813–1826). М.; Л.: Изд-во АН СССР, 1950.
Благой, II	Благой Д. Д. Творческий путь Пушкина (1826–1830). М.: Советский писатель, 1967.
Болдинские рукописи	А. С. Пушкин: Болдинские рукописи 1830 года: В 3 т. / Авт.-сост. Т. И. Краснобородько, С. Б. Федотова; Вступ. ст. С. А. Фомичева. СПб., 2013.
Бонди. Новые страницы	Бонди С. М. Новые страницы Пушкина. Стихи, проза, письма. М., 1931.
Бонди. Статьи	Бонди С. М. О Пушкине: Статьи и исследования. 2-е изд. М.: Худож. лит., 1983.
Брюс.	Пушкин А. С. Полн. собр. соч.: В 3 т. и 6 ч./ Ред., вступ. ст. и коммент. В. Брюсова. М.: ГИЗ, 1919. Т. 1, ч. 1.
Вацуро, Гиллельсон	Вацуро В. Э., Гиллельсон М. И. Сквозь «умственные плотины»: Очерки о книгах и прессе пушкинской поры. 2-е изд., доп. М., 1986.
ВЕ	журнал «Вестник Европы».
Венг.	Пушкин А. С. [Собр. соч.] / Под ред. С. А. Венгерова. СПб.; Пг.: Изд. Брокгауза–Ефрона, 1907–1915. Т. 1–6 (1907. Т. 1; 1908. Т. 2; 1909. Т. 3; 1910. Т. 4; 1911. Т. 5; 1915. Т. 6).
Вигель	Вигель Ф. Ф. Записки. М., 1891–1893. Ч. 1–7.
Виноградов. Стиль П.	Виноградов В. В. Стиль Пушкина. М.: Гослитиздат, 1941.
Виноградов. Язык П.	Виноградов В. В. Язык Пушкина: Пушкин и история русского литературного языка. М.; Л.: Academia, 1935.
ВЛ	журнал «Вопросы литературы».
Врем. ПК 1962	Временник Пушкинской комиссии. 1962. М.; Л.: Изд-во АН СССР, 1963. [Вып. 1].
Врем. ПК 1963	Временник Пушкинской комиссии. 1963. М.; Л.: Наука, 1966. [Вып. 2].
Врем. ПК 1964–1980	Временник Пушкинской комиссии. 1964–1980. Л.: Наука, 1967–1983. [Вып. 3–18].
Врем. ПК 1981	Временник Пушкинской комиссии: Сборник науч. тр. 1981. Л.: Наука, 1985. [Вып. 19].
Врем. ПК 20–33	Временник Пушкинской комиссии: Сб. науч. трудов. Л.: Наука, 1986–1991. Вып. 20–24; СПб.: Наука, 1993–2005. Вып. 25–30; СПб.: Изд-во Пушкинского Дома, 2013. Вып. 31; СПб.: Росток, 2016. Вып. 32; СПб.: Росток, 2019. Вып. 33.
Вульф	Вульф А. Н. Дневники: (Любовный быт пушкинской эпохи). М., 1929.
Гаевский. П. в Лицее	Гаевский В. П. Пушкин в Лицее и лицейские его стихотворения // Современник. 1863. Т. 47, № 7. Отд. 1. С. 129–177; № 8. Отд. 1. С. 349–399.
Генн. 1859	Пушкин А. С. Соч. / Под ред. Г. Н. Геннади. СПб.: Изд. Я. А. Исакова, 1859. Т. 1–6; 1860. [Т. 7]: Приложения.
Генн. 1869–71	Пушкин А. С. Полн. собр. соч. / Под ред. Г. Н. Геннади. СПб.: Изд. Я. А. Исакова, 1869–1871 (1870. Т. 1; 1869. Т. 2–4; 1871. Т. 5–6).
Герб.	Стихотворения А. С. Пушкина, не вошедшие в последнее собрание его сочинений: Дополнения к 6-ти томам петербургского издания / Под ред. Русского \<Н. В. Гербеля\>. Berlin, 1861.
ГИХЛ 1931	Пушкин А. С. Полн. собр. соч.: В 6 т. / Под общ. ред. Демьяна Бедного, А. В. Луначарского, П. Н. Сакулина, В. И. Соловьева, П. Е. Щеголева. М.; Л.: ГИХЛ, 1931–1933 (1931. Т. 1–3; 1932. Т. 4; 1933. Т. 5, кн. 1–2).
ГИХЛ 1934	Пушкин А. С. Полн. собр. соч.: В 6 т. / Под общ. ред. Демьяна Бедного, А. В. Луначарского, П. Н. Сакулина, В. И. Соловьева, М. А. Цявловского, П. Е. Щеголева. 2-е изд. М.; Л.: ГИХЛ, 1934.
ГИХЛ 1935	Пушкин А. С. Полн. собр. соч.: В 6 т. / Под общ. ред.С. М. Бонди, И. К. Луппола, Ю. Г. Оксмана, Б. В. Томашевского, М. А. Цявловского. 3-е изд. М.: ГИХЛ, 1935.
ГИХЛ 1936	Пушкин А. С. Полн. собр. соч.: В 6 т. / Под общ. ред.С. М. Бонди, И. К. Луппола, Ю. Г. Оксмана, Б. В. Томашевского, М. А. Цявловского. 4-е изд. М.: ГИХЛ, 1936.
ГИХЛ 1937	Пушкин А. С. Полн. собр. соч.: В 6 т. / Под общ. ред. С. М. Бонди, И. К. Луппола, [Ю. Г. Оксмана], Б. В. Томашевского, М. А. Цявловского. 5‑е изд. М.: ГИХЛ, 1937–1947.
Городецкий	Городецкий Б. П. Лирика Пушкина. М.; Л.: Изд-во АН СССР, 1962.
Госл. в 10 т.	Пушкин А. С. Собр. соч.: В 10 т. М.: Гослитиздат, 1959–1962.
Грот 1899	Грот Я. К. Пушкин, его лицейские товарищи и наставники: Статьи и материалы. 2-е изд., доп. / Под ред. К. Я. Грота. СПб., 1899.
Грот. Пушк. лицей	Грот К. Я. Пушкинский лицей (1811–1817): Бумаги I-го курса, собранные акад. Я. К. Гротом. СПб., 1911.
Гуковский	Гуковский Г. А. Пушкин и проблемы реалистического стиля. М.: Гослитиздат, 1957.
ДЖ	«Дамский журнал».
Ефр. 1880	Пушкин А. С. Соч. / Под ред. П. А Ефремова. СПб.: Изд. Я. А. Исакова, 1878–1881 (1880. Т. 1– 4; 1881. Т. 5; 1878. Т. 6).
Ефр. 1882	Пушкин А. С. Соч. / Под ред. П. А. Ефремова. М.: Изд. Ф. Н. Анского, 1882. Т. 1–7.
Ефр. 1887	Пушкин А. С. Полн. собр. соч. / Под ред. П. А. Ефремова. СПб.: Изд. В. В. Комарова, 1887. Т. 1–7.
Ефр. 1903–05	Пушкин А. С. Соч. / Под ред. П. А. Ефремова. СПб.: Изд. А. С. Суворина, 1903–1905. Т. 1–8 (1903. Т. 1–7; 1905. Т. 8).
Звенья	Звенья: Сборники материалов и документов по истории литературы, искусства и общественной мысли XIX века. М.: Academia, 1932–1936. Т. 1–6; М.: Госкультпросветиздат, 1950–1951. Т. 8–9.
ИВ	журнал «Исторический вестник».
Изв. ОРЯС	Известия Отделения русского языка и словесности Российской Академии наук (с 1926 г. — АН СССР).
Измайлов	Измайлов Н. В. Очерки творчества Пушкина. Л., 1975.
КН	Пушкин А. С. Полн. собр. соч.: В 6 т. М.; Л.: ГИЗ, 1930–1931 (Прилож. к журн. «Красная нива» на 1930 г.).
ЛГ	«Литературная газета».
Лернер. Рассказы о П.	Лернер Н. О. Рассказы о Пушкине. Л.: Прибой, 1929.
Лет. ГЛМ	Летописи Гос. литературного музея / Ред. В. Д. Бонч-Бруевича. М.: Жургазобъед, 1936. Кн. 1: Пушкин / Ред. М. Цявловского.
Летопись 1999	Летопись жизни и творчества Александра Пушкина: В 4 т. / Изд. подгот. под рук. Н. А. Тарховой; Сост. М. А. Цявловский (1799 — сент. 1826), Н. А. Тархова (сент. 1826–1837); Отв. ред. (т. 2–4 науч. ред.) Я. Л. Левкович / РАН. Пушкинская комиссия. М.: Слово/Slovo, 1999.
ЛЛ	газета «Литературные листки».
ЛН	Литературное наследство.
Лотман. Пушкин	Лотман Ю. М. Пушкин: Биография писателя. Статьи и заметки. «Евгений Онегин»: Комментарий. СПб.: Искусство-СПб., 1995.
Майков. Материалы	Майков Л. Н. Материалы для академического издания сочинений А. С. Пушкина / Собр. Л. Н. Майков; Публ. В. И. Саитова. СПб., 1902.
Макогоненко, I	Макогоненко Г. П. Творчество А. С. Пушкина в 1830-е годы (1830–1833). Л.: Худож. лит., 1974.
Макогоненко, II	Макогоненко Г. П. Творчество А. С. Пушкина в 1830-е годы (1833–1836). Л.: Худож. лит., 1982.
МВ	журнал «Московский вестник».
Мвед	газета «Московские ведомости».
Мор. 1887	Пушкин А. С. Соч. / Под ред., с примеч. П. О. Морозова. СПб.: Изд. Общества для пособия нуждающимся литераторам и ученым, 1887. Т. 1–7.
Мор. 1903–06	Пушкин А. С. Соч. и письма / Под ред. П. О. Морозова. СПб.: Просвещение, 1903–1906. Т. 1–8 (1903. Т. 1–3; 1904. Т. 4–6; 1905. Т. 7; 1906. Т. 8).
Москв.	журнал «Москвитянин».
МТ	журнал «Московский телеграф».
Неизд. П. Собр. Онегина	Неизданный Пушкин: Собрание А. Ф. Онегина / Труды Пушкинского Дома при Российской Академии наук. Пб.: Атеней, 1922.
Неизданный Пушкин	Неизданный Пушкин: Изд. подгот. материалов к новому акад. Полн. собр. соч.А. С. Пушкина / Сост. сер. С. А. Фомичев. СПб.: Нотабене, 1996–2000 (1996. Вып. 1: Фомичев С. А. Новые тексты стихотворений А. С. Пушкина; 1997. Вып. 2: Дубровский А. В., Краснобородько Т. И., Левкович Я. Л., Фомичев С. А. Творческие и биографические пометы в рукописях А. С. Пушкина; 2000. Вып. 3: Фомичев С. А. Ранние редакции поэмы «Домик в Коломне»).
НЗ	журнал «Невский зритель».
НЛ	журнал «Новости литературы».
НЛО	журнал «Новое литературное обозрение».
ОА	Остафьевский архив князей Вяземских. СПб.: Изд. гр. С. Д. Шереметева, 1899–1913. Т. 1–4 / Под ред., с примеч. В. И. Саитова; 1909–1913. Т. 5, вып. 1, 2 / Под ред., с примеч. П. Н. Шеффера.
ОЗ	журнал «Отечественные записки».
П. в восп. 1974	А. С. Пушкин в воспоминаниях современников: В 2 т. / Вступ. ст. В. Э. Вацуро; Подгот. текста, сост., примеч. В. Э. Вацуро, М. И. Гиллельсона, Р. В. Иезуитовой, Я. Л. Левкович. М.: Худож. лит., 1974 (Сер. лит. мемуаров).
П. в восп. 1985	А. С. Пушкин в воспоминаниях современников: В 2 т. / Сост., подгот. текста и коммент. В. Э. Вацуро, М. И. Гиллельсона, Р. В. Иезуитовой, Я. Л. Левкович. М.: Худож. лит., 1985 (Сер. лит. мемуаров).
П. в критике, I	Пушкин в прижизненной критике. 1820–1827 / Под общ. ред. В. Э. Вацуро и С. А. Фомичева; Подгот. текста, коммент. В. Э. Вацуро, Е. А. Вилька, Е. А. Губко, С. В. Денисенко, О. Н. Золотовой, Г. М. Ивановой, Т. Е. Киселевой, Е. О. Ларионовой, Е. В. Лудиловой, Т. М. Михайловой, Г. Е. Потаповой, А. И. Роговой, С. Б. Федотовой, А. В. Шароновой. 2-е изд., испр. и доп. СПб.: Гос. Пушкинский театральный центр, 2001.
П. в критике, II	Пушкин в прижизненной критике. 1828–1830 / Под общ. ред. Е. О. Ларионовой; Подгот. текста, коммент. А. М. Березкина, В. Э. Вацуро, С. В. Денисенко, О. Н. Золотовой, Т. А. Китаниной, Т. И. Краснобородько, Е. О. Ларионовой, Е. В. Лудиловой, Г. Е. Потаповой, А. И. Роговой, С. Б. Федотовой. СПб.: Гос. Пушкинский театральный центр, 2001.
П. в критике, III	Пушкин в прижизненной критике. 1831–1833 / Под общ. ред. Е. О. Ларионовой; Подгот. текста, коммент. А. Ю. Балакина, А. М. Березкина, М. Н. Виролайнен, С. В. Денисенко, Н. Л. Дмитриевой, О. Н. Золотовой, Т. А. Китаниной, Е. О. Ларионовой, Е. В. Лудиловой, Г. Е. Потаповой, А. И. Роговой, С. Б. Федотовой. СПб.: Гос. Пушкинский театральный центр, 2003.
П. в критике, IV	Пушкин в прижизненной критике. 1834–1837 / Под общ. ред. Е. О. Ларионовой; Подгот. текста, коммент. А. Ю. Балакина, А. М. Березкина, М. Н. Виролайнен, С. В. Денисенко, Е. В. Кардаш, Т. А. Китаниной, Е. О. Ларионовой, Е. В. Лудиловой, А. И. Роговой, С. Б. Федотовой, С. А. Фомичева. СПб.: Гос. Пушкинский театральный центр, 2008.
П. в печати	Пушкин в печати: 1814–1837: Хронологический указатель произведений Пушкина, напечатанных при его жизни / Сост. Н. Синявский и М. Цявловский. 2-е изд., испр. М.: Соцэкгиз, 1938.
П. Врем.	Пушкин: Временник Пушкинской комиссии. М.; Л.: Изд-во АН СССР, 1936–1941. [Т.]. 1–6.
П. Документы к биографии, I	Александр Сергеевич Пушкин: Документы к биографии 1799–18291. СПб.: Искусство — СПб., 2007.
П. Документы к биографии, II	Александр Сергеевич Пушкин: Документы к биографии: 1830–1837 / Сост. С. В. Березкиной, В. П. Старка; Подгот. текстов С. В. Березкиной, И. В. Васильевой, А. В. Дубровского, Т. И. Краснобородько, А. С. Лобановой, В. П. Старка; Примеч. С. В. Березкиной. СПб., 2010.
П. и мировая лит-ра	Пушкин: Исследования и материалы. СПб.: Наука, 2004. Т. 18–19: Пушкин и мировая литература: Материалы к «Пушкинской энциклопедии».
Петрунина	Петрунина Н. Н. Проза Пушкина: (Пути эволюции). Л., 1987.
ПЗ 1823–1825	Полярная звезда, карманная книжка для любительниц и любителей русской словесности [на 1823, 1824, 1825 гг.], изданная А. Бестужевым и К. Рылеевым. СПб., 1823–1825.
ПЗ 1855–1869	Полярная звезда. [Журнал А. И. Герцена и Н. П. Огарева]. Лондон; Женева, 1855–1869. Кн. 1–8.
ПИМ	Пушкин: Исследования и материалы. М.; Л.: Изд-во АН СССР, 1956–1962. Т. 1–4; Л.: Наука, 1967–1991. Т. 5–14; СПб.: Наука, 1995–2003. Т. 15–17.
ПиС	Пушкин и его современники: Материалы и исследования. СПб.; Л., 1903–1930. Вып. 1–39.
ПиС (Нов. серия)	Пушкин и его современники: Сборник науч. трудов. СПб.: Академический проект, 1999–2002. Вып. 1 (40) — 3 (42); СПб.: Академический проект; Нестор-История, 2005. Вып. 4 (43); СПб.: Нестор-История, 2009. Вып. 5 (44).
Письма	Пушкин. Письма / Под ред. и с примеч. Б. Л. Модзалевского. М.; Л.: ГИЗ, 1926–1928. Т. 1–2; Под ред и с примеч. Л. Б. Модзалевского. М.; Л.: Academia, 1935. Т. 3.
Посм.	Пушкин А. Соч. СПб., 1838–1841. Т. 1–11 (1838. Т. 1–8; 1841. Т. 9–11).
Пушкин — родоначальник	Пушкин — родоначальник новой русской литературы: Сборник науч.-исслед. работ. М.; Л.: Изд-во АН СССР, 1941.
Пушкин 1935	Пушкин А. С. Полн. собр. соч. М.; Л.: Изд-во АН СССР, 1935. Т. 7: Драматические произведения.
Пушкинист, II	Пушкинист: Историко-литературный сборник / Под ред. С. А. Венгерова. Пг., 1916. Т. 2.
Пушкинист, IV	[Пушкинист]: Пушкинский сборник памяти С. А. Венгерова. М.; Пг., 1922 [на обл.: 1923]. Т. 4.
Пущин	Пущин И. И. Записки о Пушкине; Письма / Ред., вступ. ст. и примеч. С. Я. Штрайха. М.: Гослитиздат, 1956 (Сер. лит. мемуаров).
РА	журнал «Русский архив».
РВ	журнал «Русский вестник».
РИ	газета «Русский инвалид».
РЛ	журнал «Русская литература».
РМ	Российский музеум, или Журнал европейских новостей, издаваемый В. Измайловым.
РПЛ	Русская потаенная литература XIX столетия / Предисл. Н. Огарева. Лондон, 1861. Ч. 1. Отд. I.
РС	журнал «Русская старина».
Рукоп. П. 1937	Модзалевский Л. Б., Томашевский В. Б. Рукописи Пушкина, хранящиеся в Пушкинском Доме: Научное описание. М.: Изд-во АН СССР, 1937.
Рукою П.	Рукою Пушкина: Несобранные и неопубликованные тексты / Коммент. М. А. Цявловского, Л. Б. Модзалевского, Т. Г. Зенгер. М.; Л.: Academia, 1935.
Рукою П. 1997	Рукою Пушкина: Выписки и записи разного содерж. Официальные документы / Отв. ред. Я. Л. Левкович, С. А. Фомичев. 2-е изд., перераб. // Пушкин А. С. Полн. собр. соч. / РАН. Ин-т рус. лит. (Пушкинский Дом). М.: Воскресенье, 1997. Т. 17 (доп.).
СА	журнал «Северный архив».
СЗ	альманах «Северная звезда. 1829» / Изд. М. А. Бестужев-Рюмин. СПб., 1829.
СиН	Старина и новизна: Исторический сборник. СПб., Пг., М., 1897–1917. Кн. 1–22.
Слонимский	Слонимский А. Мастерство Пушкина. 2-е изд. М.: Гослитиздат, 1963.
Смирнов-Сокольский	Смирнов-Сокольский Н. П. Рассказы о прижизненных изданиях Пушкина, о книгах других авторов, им изданных, о его журнале «Современник», о первом посмертном собрании сочинений, а также о всех газетах, журналах, альманахах, сборниках, хрестоматиях и песенниках, в которых печатались произведения поэта в 1814–1837 годах. М.: Изд-во Всесоюзной книжной палаты, 1962.
Смирнова-Россет	Смирнова-Россет А. О. Дневник. Воспоминания. М., 1989 (Сер. «Лит. памятники»).
СО	журнал «Сын отечества».
СО и СА	журнал «Сын отечества и Северный архив».
Совр.	журнал «Современник».
Соревн.	журнал «Соревнователь просвещения и благотворения (Труды Вольного общества любителей российской словесности)».
СПбВед	газета «Санкт-Петербургские ведомости».
СПч.	газета «Северная пчела».
Ст 1826	Пушкин А. Стихотворения. СПб., 1826.
Ст 1829	Пушкин А. Стихотворения. СПб., 1829. Ч. 1–2.
Ст 1832	Пушкин А. Стихотворения. СПб., 1832. Ч. 3.
Степанов. Лирика П.	Степанов Н. Л. Лирика Пушкина. М., 1959.
Степанов. Проза П.	Степанов Н. Л. Проза Пушкина. М., 1962.
Cтих. П. 1820–1830 гг.	Стихотворения Пушкина 1820–1830-х годов: История создания и идейно-художественная проблематика. Л.: Наука, 1974.
СЦ	альманах «Северные цветы».
ТОДРЛ	Труды отдела древнерусской литературы.
Томашевский. П. и Франция	Томашевский Б. В. Пушкин и Франция. Л.: Сов. писатель, 1960.
Томашевский. Пушкин, I	Томашевский Б. Пушкин. Кн. 1: 1813–1824. М.; Л.: Изд-во АН СССР, 1956.
Томашевский. Пушкин, II	Томашевский Б. Пушкин. Кн. 2: Материалы к монографии (1824–1837). М.; Л.: Изд-во АН СССР, 1961.
Томашевский. Строфика П.	Томашевский Б. В. Строфика Пушкина // Пушкин: Исследования и материалы. М.; Л.: Изд-во АН СССР, 1958. Т. 2. С. 49–213.
Тынянов	Тынянов Ю. Н. Пушкин и его современники. М.: Наука, 1968.
Фомичев	Фомичев С. А. Поэзия Пушкина: Творческая эволюция. Л., 1986.
Франц. элегия	Французская элегия XVIII–XIX веков в переводах поэтов пушкинской поры / Сост. В. Э. Вацуро; Вступ. ст. и коммент. В. Э. Вацуро и В. А. Мильчиной. М.: Радуга, 1989.
Худ. лит. в 10 т.	Пушкин А. С. Собр. соч.: В 10 т. М.: Худож. лит., 1974–1978.
Цявловский. Статьи	Цявловский М. А. Статьи о Пушкине. М.: Изд-во АН СССР, 1962.
Шляпкин	Шляпкин И. А. Из неизданных бумаг А. С. Пушкина. СПб., 1903.
Щеголев	Щеголев П. Е. Пушкин: Исследования, статьи и материалы. 3-е изд., провер. и доп. Т. 1: Дуэль и смерть Пушкина. М.; Л.: ГИХЛ, 1928; Т. 2: Из жизни и творчества Пушкина. М.; Л.: ГИХЛ, 1931.
Щукинский сборник	Сборник старинных бумаг, хранящихся в Музее П. И. Щукина. М.: Т-во тип. А. И. Мамонтова, 1896–1902. Вып. 1–10.
Языковский архив	Языковский архив. СПб., 1913. Вып. 1: Письма Н. М. Языкова к родным за дерптский период его жизни (1822–1829).
Якушкин	Якушкин В. Е. Рукописи А. С. Пушкина, хранящиеся в Румянцевском музее в Москве // Русская старина. 1884. № 2–12.